#sz v, s, m max min
0 5.157292529228605e+16 227096731.135184 392462888.6818182 896027112.0 12324330.0
1 7.0802370012000456e+16 266087147.40099803 549677656.5769231 1095763628.0 109776884.0
2 8.062395396824802e+16 283943575.32483107 598206982.275 1138721122.0 84150320.0
3 8.036323318027635e+16 283484096.873663 639466539.7083334 1188170232.0 250965135.0
4 8.483759078935032e+16 291268932.070261 710844290.9523809 1217308075.0 277016492.0
5 8.389109852567994e+16 289639601.10054 726348686.75 1238515990.0 294841996.0
6 8.829159715792706e+16 297139019.918164 714919538.4444444 1278283744.0 178447208.0
7 6.091995576663693e+16 246819682.69697806 861319496.25 1242061151.0 333507213.0
