#sz v, s, m max min
0 1.4545174389146222e+16 120603376.35881601 244972503.86363637 486941092.0 59968928.0
1 9763035838675762.0 98808075.77660726 230342140.15384614 420837509.0 67564648.0
2 7806408746095190.0 88353883.59373452 195521042.2 401924373.0 34833997.0
3 4674998897711178.0 68373963.59515205 172395705.04166666 334013918.0 69911994.0
4 3952994496715230.5 62872843.87329104 167315712.3809524 307699881.0 71750616.0
5 3408804680818732.5 58384969.64817857 150658908.54166666 302222983.0 64586953.0
6 2731516687562933.5 52263913.81788139 136449383.03703704 269880752.0 48279366.0
7 2236099073376079.5 47287409.24787569 148135246.45 279960834.0 64549682.0
