2	0	0	1491359961
2	0	0	1491359962
2	0	0	1491359962
2	640640	656656	1491360654
2	656656	688688	1491360660
2	688688	736736	1491360671
2	736736	784784	1491360686
2	784784	832832	1491360711
2	832832	886218	1491360751
2	886218	934266	1491360804
2	934266	982314	1491360852
2	1622954	1644309	1491361708
2	1644309	1681680	1491361711
2	1681680	1729728	1491361721
2	1729728	1783114	1491361736
2	1783114	1831162	1491361771
2	1831162	1879210	1491361819
2	1879210	1927258	1491361868
2	1927258	1975306	1491361915
3	0	0	1491359943
3	0	0	1491359943
3	0	0	1491359943
3	32032	48048	1491359953
3	48048	74741	1491359959
3	74741	112112	1491359969
3	112112	149482	1491359984
3	149482	192192	1491360000
3	192192	229562	1491360022
3	934266	976976	1491360862
3	976976	1025024	1491360894
3	1025024	1067733	1491360943
3	1927258	1964629	1491361925
3	1964629	2002000	1491361952
3	2002000	2039370	1491361991
3	2039370	2076741	1491362027
3	2076741	2114112	1491362065
4	0	5338	1491359926
4	5338	10677	1491359932
4	10677	16016	1491359934
4	16016	26693	1491359940
4	26693	32032	1491359948
4	202869	224224	1491360037
4	224224	245578	1491360050
4	245578	266933	1491360069
4	266933	272272	1491360091
4	272272	277610	1491360096
4	277610	282949	1491360101
4	282949	288288	1491360107
4	288288	309642	1491360112
4	1030362	1051717	1491360958
4	1051717	1073072	1491360979
4	1073072	1094426	1491360996
4	1094426	1099765	1491361013
4	1099765	1121120	1491361017
4	1121120	1142474	1491361039
4	1142474	1163829	1491361060
4	1163829	1185184	1491361082
4	1185184	1206538	1491361102
4	1206538	1227893	1491361124
4	1227893	1249248	1491361146
4	1249248	1270602	1491361167
4	1270602	1291957	1491361188
4	1291957	1313312	1491361209
4	1313312	1334666	1491361231
4	2114112	2135466	1491362117
4	2135466	2156821	1491362132
4	2156821	2178176	1491362145
4	2178176	2199530	1491362167
4	2199530	2220885	1491362188
4	2220885	2236901	1491362209
4	2236901	2252917	1491362225
4	2252917	2274272	1491362241
4	2274272	2295626	1491362262
4	2295626	2316981	1491362284
4	2316981	2338336	1491362305
4	2338336	2359690	1491362327
1	0	0	1491360224
1	0	0	1491360227
1	0	0	1491360228
1	309642	314981	1491360250
1	314981	320320	1491360257
1	320320	325658	1491360277
1	325658	330997	1491360286
1	330997	336336	1491360304
1	336336	341674	1491360324
1	341674	347013	1491360344
1	347013	352352	1491360363
1	352352	357690	1491360368
1	357690	363029	1491360378
1	363029	368368	1491360379
1	368368	373706	1491360382
1	373706	379045	1491360390
1	379045	389722	1491360393
1	389722	405738	1491360398
1	405738	432432	1491360406
1	432432	464464	1491360416
1	464464	501834	1491360431
1	501834	533866	1491360446
1	533866	571237	1491360457
1	571237	603269	1491360489
1	603269	635301	1491360521
1	635301	667333	1491360553
1	667333	699365	1491360585
1	699365	731397	1491360617
1	731397	763429	1491360649
1	1334666	1345344	1491361355
1	1345344	1350682	1491361379
1	1350682	1356021	1491361398
1	1356021	1361360	1491361408
1	1361360	1366698	1491361427
1	1366698	1372037	1491361436
1	1372037	1377376	1491361453
1	1377376	1382714	1491361466
1	1382714	1388053	1491361467
1	1388053	1398730	1491361470
1	1398730	1420085	1491361476
1	1420085	1452117	1491361485
1	1452117	1484149	1491361500
1	1484149	1516181	1491361511
1	1516181	1553552	1491361526
1	1553552	1585584	1491361541
1	1585584	1617616	1491361574
1	1617616	1649648	1491361606
1	1649648	1681680	1491361638
1	1681680	1713712	1491361670
1	1713712	1745744	1491361702
1	2359690	2365029	1491362456
1	2365029	2370368	1491362473
1	2370368	2375706	1491362500
1	2375706	2381045	1491362510
1	2381045	2386384	1491362529
1	2386384	2391722	1491362551
1	2391722	2397061	1491362560
1	2397061	2402400	1491362566
1	2402400	2407738	1491362568
1	2407738	2413077	1491362570
1	2413077	2423754	1491362572
1	2423754	2439770	1491362577
1	2439770	2467532	1491362583
