# avgThrpt avgCon avgTime avgObjThrpt
2 255033.75516815888 87.63791998796125 8771.422296754305 252245.6833243973
4 250788.17940453652 87.62361537029307 17366.5662604775 249441.14671008466
6 248136.59097004912 87.34622220161005 26117.566844816047 247261.4691827277
8 247002.49068986738 89.4522857288406 34680.33412427805 246341.6885407186
10 250884.09389862602 88.4564666712155 42788.06570733846 250340.45644895677
12 239678.16181293802 87.47240000786185 53607.35230812655 239269.39972044402
14 246355.15653350414 90.08700000846137 60533.499772450574 245976.2320299604
16 233729.3658825714 88.10433328912409 73696.26593921192 233432.58679067192
18 245032.72880199578 86.33433335752785 78155.15735625564 244752.45010449435
20 240494.73648519654 88.6586666655524 88768.99031040323 240244.45809460536
22 233062.74771366073 89.59355554381342 101242.17568924603 232846.29534832318
24 233433.24701800544 87.01822223290965 109307.26328232116 233239.8540531765
26 247929.4826515043 86.85599998666096 110828.60233848449 247731.17795503643
28 245307.97715074805 88.75433336130777 121044.23100529907 245123.84812548358
30 240235.2907326872 86.56533329629899 132808.53436949124 240072.954599333
32 232763.20071918998 89.70449998356155 147067.43421926102 232615.231140021
34 230588.31995316935 113.36249998802442 155654.82194978266 230423.518018681
36 230962.44038205556 86.8998333655248 163929.71407229968 230838.47342850268
38 233188.0933399455 89.22799999585747 171276.9593732558 233065.34988537166
40 235733.651909182 86.22833337784557 178242.85201680716 235618.59504075942
42 237794.1861920273 87.63783336448172 185428.042574339 237680.91002264642
44 239042.4703522951 85.92616666371127 193192.24102838125 238935.45967284418
46 240632.1687856122 89.34483332868167 200609.02610281203 240524.17616516256
48 239289.06445630905 88.62633337703348 210557.28404727238 239187.54378855086
50 245419.86792708747 85.57533333222072 213715.05900739823 245321.03751928033
