2 0 86 87 737 8.471264367816092 https://www.sml2.org/dash/0b4SVyP0IqI/media/init-stream1.m4s
3 97 185 584 102708 210.8993839835729 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00001.m4s
7 5108 5828 6553 100741 69.71695501730103 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00002.m4s
11 9563 10125 10710 100807 87.88753269398431 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00003.m4s
12 10717 11473 12176 101033 69.2481151473612 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00004.m4s
15 16184 16277 16587 100731 249.95285359801488 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00005.m4s
17 16594 16693 17345 100626 133.98934753661786 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00006.m4s
20 17851 18525 18813 100779 104.75987525987526 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00007.m4s
22 18825 19628 20259 101240 70.59972105997211 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00008.m4s
24 22266 23159 23848 100809 63.72250316055626 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00009.m4s
25 23854 25016 25841 100627 50.64267740312028 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream1-00010.m4s
27 29353 29443 29443 737 8.188888888888888 https://www.sml2.org/dash/0b4SVyP0IqI/media/init-stream0.m4s
28 29447 29537 30286 201981 240.74016686531584 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00010.m4s
29 30292 30382 31037 201190 270.0536912751678 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00011.m4s
32 45055 48106 49749 201948 43.02258201959949 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00012.m4s
33 49756 53194 54712 201163 40.589790153349476 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00013.m4s
36 61724 64973 66734 201786 40.276646706586824 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00014.m4s
37 66740 72406 76009 201531 21.74247491638796 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00015.m4s
40 93031 94647 95366 201642 86.35631691648823 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00016.m4s
42 95373 97222 98178 201695 71.90552584670232 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00017.m4s
44 98185 99869 100740 201423 78.8348336594912 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00018.m4s
46 100748 102509 103474 201875 74.05539251650771 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00019.m4s
47 103486 103570 104225 201041 272.0446549391069 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00020.m4s
49 106740 106824 107849 201931 182.0838593327322 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00021.m4s
51 115366 115454 116385 201228 197.47595682041216 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00022.m4s
53 124403 124501 126720 202097 87.22356495468279 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00023.m4s
54 126727 126830 129978 200920 61.80252230083051 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00024.m4s
57 139998 140083 140756 201937 266.4076517150396 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00025.m4s
58 140762 140854 141679 201344 219.56815703380587 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00026.m4s
61 155201 155286 156036 201813 241.69221556886228 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00027.m4s
63 163051 163138 163954 201394 223.02768549280177 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00028.m4s
65 171475 171562 172374 201593 224.24137931034483 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00029.m4s
67 179391 179476 180260 201182 231.50978135788262 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00030.m4s
69 186776 186870 187804 201927 196.4270428015564 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00031.m4s
70 187811 187902 188704 201745 225.91825307950728 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00032.m4s
73 202724 202816 203657 201488 215.95712754555197 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00033.m4s
75 211174 211262 212076 201807 223.73281596452327 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00034.m4s
77 219591 219678 221151 201176 128.95897435897436 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00035.m4s
79 226670 226759 227422 201793 268.34175531914894 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00036.m4s
81 234942 235032 235889 201246 212.5089757127772 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00037.m4s
83 242907 243001 244047 201915 177.1184210526316 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00038.m4s
85 253064 253175 255307 201241 89.71957200178332 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00039.m4s
87 262322 262416 263994 201716 120.64354066985646 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00040.m4s
89 269510 269598 270546 201315 194.31949806949808 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00041.m4s
91 277059 277157 278320 201951 160.15146708961143 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00042.m4s
93 284835 284925 286078 201103 161.7884151246983 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00043.m4s
95 291093 291184 291927 201781 241.94364508393286 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00044.m4s
97 299443 299527 300152 201389 284.0465444287729 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00045.m4s
99 308169 308258 309004 201826 241.70778443113772 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00046.m4s
101 315517 315608 316464 201226 212.48785638859556 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00047.m4s
103 322979 323067 323826 201939 238.4167650531287 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00048.m4s
104 323831 323922 324755 201626 218.2099567099567 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00049.m4s
107 338777 338863 339427 201395 309.83846153846156 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00050.m4s
109 351449 351536 352240 201823 255.14917825537296 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00051.m4s
111 356252 356341 356959 201149 284.5106082036775 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00052.m4s
113 364975 365064 365987 201892 199.49802371541503 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00053.m4s
115 374003 374086 374825 201259 244.84063260340633 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00054.m4s
116 374831 374923 375702 201934 231.84156142365097 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00055.m4s
119 390720 390813 392300 201119 127.29050632911392 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00056.m4s
121 399313 399403 400202 201826 227.02587176602924 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00057.m4s
123 403218 403302 404133 201205 219.89617486338798 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00058.m4s
126 417148 423492 424726 201875 26.639614674056478 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00059.m4s
127 424739 424827 425651 201438 220.875 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00060.m4s
129 431166 431253 432217 201662 191.87630827783065 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00061.m4s
131 434730 434815 435566 201347 240.8456937799043 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00062.m4s
133 444583 444675 447132 201809 79.17183209101609 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00063.m4s
135 454147 454266 456908 201721 73.06084751901486 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00064.m4s
137 462423 462508 463356 201315 215.77170418006432 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00065.m4s
139 468872 468957 469602 201776 276.4054794520548 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00066.m4s
141 476116 476202 476857 201244 271.58434547908234 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00067.m4s
143 484379 484470 485381 201836 201.43313373253494 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00068.m4s
145 492896 492982 493644 201337 269.16711229946526 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00069.m4s
147 499659 499746 500519 201751 234.59418604651162 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00070.m4s
149 509037 509125 509896 201346 234.39580908032596 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00071.m4s
151 516913 517004 517832 201899 219.6942328618063 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00072.m4s
152 517839 517926 518648 201094 248.57107540173052 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00073.m4s
155 531168 531254 532067 201932 224.61846496106784 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00074.m4s
157 539583 539674 541144 201315 128.9654067905189 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00075.m4s
159 547161 547251 547929 201772 262.7239583333333 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00076.m4s
161 556445 556534 557295 201356 236.88941176470587 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00077.m4s
163 563309 563403 564460 201637 175.18418766290182 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00078.m4s
165 572977 573085 575225 201342 89.56494661921708 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00079.m4s
167 581741 581846 583403 201746 121.38748495788207 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00080.m4s
169 589417 589502 590445 201838 196.34046692607004 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00081.m4s
171 596459 596547 597830 201376 146.88256746900072 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00082.m4s
172 597839 597930 599005 201728 173.00857632933105 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00083.m4s
175 611524 611613 612343 201254 245.73137973137972 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00084.m4s
177 619858 619949 620627 201969 262.63849154746424 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00085.m4s
179 628147 628234 628976 201183 242.68154402895055 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00086.m4s
181 635491 635581 636442 201821 212.21976866456362 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00087.m4s
183 643458 643545 644507 201289 191.88655862726407 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00088.m4s
185 650522 650607 651288 201934 263.62140992167105 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00089.m4s
187 658803 658888 659451 201118 310.36728395061726 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00090.m4s
189 666968 667057 667825 201868 235.55192532088682 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00091.m4s
190 667833 667919 668663 201148 242.34698795180722 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00092.m4s
193 682684 682770 683359 202103 299.41185185185185 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00093.m4s
195 690875 690963 691822 201014 212.26399155227034 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00094.m4s
196 691829 691915 692707 202009 230.07858769931664 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00095.m4s
199 707226 707313 708004 201650 259.19023136246784 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00096.m4s
201 716519 716613 717479 201383 209.77395833333333 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00097.m4s
203 722992 723077 723882 201828 226.77303370786518 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00098.m4s
205 733403 733487 734235 201112 241.72115384615384 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00099.m4s
207 739749 739841 740711 201886 209.86070686070687 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00100.m4s
208 740718 740809 741676 201202 210.02296450939457 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00101.m4s
211 755199 755283 756168 201836 208.29308565531477 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00102.m4s
213 764685 764779 767325 201303 76.25113636363636 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00103.m4s
215 775841 775940 777405 201855 129.06329923273657 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00104.m4s
217 779918 780002 780645 201181 276.7276478679505 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00105.m4s
219 787662 787753 788547 201950 228.19209039548022 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00106.m4s
221 795561 795653 796300 201138 272.17591339648175 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00107.m4s
223 803815 803909 804837 202097 197.74657534246575 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00108.m4s
224 804843 804935 805827 201058 204.3272357723577 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00109.m4s
227 818847 818931 819756 201778 221.97799779977998 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00110.m4s
228 819762 819849 820617 201425 235.58479532163742 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00111.m4s
231 836153 836245 837202 201731 192.30791229742613 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00112.m4s
233 845219 845305 845987 201943 262.9466145833333 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00113.m4s
235 852004 852096 852975 201124 207.1307929969104 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00114.m4s
237 859491 859578 861037 201785 130.52069857697282 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00115.m4s
239 867548 867639 868335 201246 255.712833545108 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00116.m4s
241 876351 876444 877231 201836 229.3590909090909 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00117.m4s
243 883246 883334 884381 201367 177.415859030837 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00118.m4s
245 892898 892996 895158 201874 89.32477876106195 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00119.m4s
247 901175 901274 902862 201467 119.42323651452283 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00120.m4s
249 908878 908962 909838 201533 209.93020833333333 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00121.m4s
250 909845 909936 910925 201277 186.3675925925926 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00122.m4s
253 923947 924045 925296 201896 149.66345441067458 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00123.m4s
255 931308 931399 932134 201127 243.4951573849879 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00124.m4s
257 938648 938738 939774 201810 179.22735346358792 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00125.m4s
258 939780 939868 940504 201252 277.97237569060775 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00126.m4s
261 957027 957116 957814 201991 256.6594663278272 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00127.m4s
262 957821 957904 958556 201804 274.56326530612245 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00128.m4s
265 972075 972158 972766 201129 291.06946454413895 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00129.m4s
266 972774 972862 973397 202004 324.2439807383628 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00130.m4s
269 987917 988009 988752 201119 240.86107784431138 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00131.m4s
270 988757 988850 989607 201882 237.50823529411764 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00132.m4s
273 1004127 1004217 1005066 201340 214.419595314164 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00133.m4s
275 1013081 1013167 1013961 201760 229.27272727272728 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00134.m4s
277 1019476 1019561 1020169 201269 290.43145743145743 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00135.m4s
279 1028685 1028780 1030153 201854 137.50272479564032 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00136.m4s
281 1038670 1038757 1039420 201122 268.16266666666667 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00137.m4s
283 1045934 1046020 1046674 201968 272.92972972972973 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00138.m4s
285 1052691 1052774 1053248 201210 361.2387791741472 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00139.m4s
287 1061764 1061849 1062806 201837 193.70153550863725 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00140.m4s
288 1062813 1062902 1063778 201161 208.45699481865284 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00141.m4s
291 1076803 1076895 1077986 201844 170.6204564666103 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00142.m4s
294 1099507 1105173 1106824 201474 27.535055350553506 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00143.m4s
295 1106834 1109885 1110682 201965 52.48570686070686 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00144.m4s
297 1110687 1112821 1113615 201477 68.81045081967213 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00145.m4s
300 1118125 1120158 1120901 201251 72.49675792507205 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00146.m4s
301 1120913 1121000 1121929 201837 198.65846456692913 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00147.m4s
303 1124441 1124530 1125434 201526 202.94662638469285 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00148.m4s
305 1131449 1131533 1132344 201675 225.33519553072625 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00149.m4s
307 1138859 1138946 1139766 201418 222.07056229327452 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00150.m4s
308 1139772 1139859 1140632 201800 234.65116279069767 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00151.m4s
311 1154651 1154741 1155500 201170 236.94935217903415 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00152.m4s
313 1163017 1163105 1163925 201802 222.2488986784141 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00153.m4s
315 1170937 1171022 1171806 201123 231.44188722669736 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00154.m4s
316 1171813 1171904 1172770 201953 211.0271682340648 https://www.sml2.org/dash/0b4SVyP0IqI/media/chunk-stream0-00155.m4s
