0 85 86 808 9.395348837209303 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/init-stream6.m4s
2 174 174 737 4.284883720930233 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/init-stream1.m4s
99 189 4602 1017663 225.9966688874084 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream6-00001.m4s
179 273 675 102708 207.07258064516128 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00001.m4s
4655 4740 4740 808 9.505882352941176 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/init-stream3.m4s
4749 4841 6536 393069 219.96026860660325 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream3-00002.m4s
5185 5829 6176 100741 101.65590312815338 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00002.m4s
6547 6642 6643 808 8.416666666666666 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/init-stream4.m4s
6649 6737 8844 610942 278.33348519362187 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream4-00003.m4s
8856 8943 8943 807 9.275862068965518 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/init-stream7.m4s
8949 9043 14394 1586737 291.411753902663 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream7-00004.m4s
9184 10114 10368 100807 85.14104729729729 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00003.m4s
14418 14506 15236 184001 224.940097799511 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream7-00005.m4s
14878 15242 15605 101033 138.97248968363135 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00004.m4s
15250 15612 15819 68945 121.16871704745166 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream7-00006.m4s
15614 15823 16135 100731 193.34165067178503 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00005.m4s
15830 16140 16140 806 2.6 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/init-stream9.m4s
16140 16233 16542 100626 250.3134328358209 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00006.m4s
16150 16548 17163 198090 195.54787759131293 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00007.m4s
17174 17260 18063 244446 274.9673790776153 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00008.m4s
17551 18067 18400 100779 118.70318021201413 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00007.m4s
18077 18404 21517 909770 264.46802325581393 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00009.m4s
18404 19332 19629 101240 82.64489795918368 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00008.m4s
21534 21621 26173 1154630 248.89631386074586 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00010.m4s
21635 23837 24230 100809 38.847398843930634 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00009.m4s
26198 26286 28523 582833 250.68086021505377 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00011.m4s
26238 28528 28907 100627 37.70213563132259 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00010.m4s
28916 29008 29008 737 8.01086956521739 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/init-stream0.m4s
29014 29106 29861 201981 238.46635182998818 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00010.m4s
29869 29957 30680 201190 248.07644882860666 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00011.m4s
33036 33128 44522 3571230 310.92025074003135 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00012.m4s
44559 44646 54235 2297889 237.48336089293096 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream7-00013.m4s
44698 54119 65269 201948 9.817121190024793 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00012.m4s
54263 54450 60474 1750133 281.7795846079536 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream7-00014.m4s
60499 60858 76988 3319171 201.29607617199346 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00015.m4s
65278 76250 78031 201163 15.773778718732848 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00013.m4s
77022 77894 92670 3460434 221.142254601227 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00016.m4s
78039 78312 79360 201786 152.75246025738076 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00014.m4s
79366 79823 81107 201531 115.75588742102241 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00015.m4s
92704 92794 94859 643783 298.73921113689096 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00017.m4s
93124 94952 95687 201642 78.67420991026141 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00016.m4s
94873 95693 98708 453021 118.12803129074315 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00018.m4s
95694 95795 96594 201695 224.10555555555555 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00017.m4s
98719 98814 101403 421166 156.9172876304024 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream9-00019.m4s
99103 99680 100547 201423 139.48961218836564 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00018.m4s
