#sz v, s, m max min
0 4.131642898585684e+16 203264431.18720216 385798545.09375 875935704.0 3277405.0
1 6.241232026567937e+16 249824578.98629463 527518133.0326087 1050859488.0 35552009.0
2 7.581292143625861e+16 275341463.3437155 599036471.3555555 1111852479.0 20787044.0
3 7.56391894489333e+16 275025797.7880135 652267288.1190476 1171546696.0 66400991.0
4 7.724309872115614e+16 277926426.8132056 708942253.2857143 1252600500.0 202397051.0
5 9.297958950380558e+16 304925547.4764382 674779959.9090909 1241343655.0 46979356.0
6 8.492749334211405e+16 291423220.32074594 745909486.125 1285026646.0 239055291.0
7 8.120298844699698e+16 284961380.6237557 797005149.2571429 1327467441.0 247288303.0
