#sz v, s, m max min
0 1.1204979483205842e+16 105853575.67510812 227877418.25 475238780.0 67687504.0
1 7389347371470296.0 85961313.22560339 203890781.45652175 369662254.0 58493667.0
2 5133961639227415.0 71651668.78187427 176554163.1111111 332584131.0 60990929.0
3 3296530144161217.5 57415417.3037279 155720944.3809524 287042203.0 48319422.0
4 2768339908762140.5 52615016.000778146 144713564.94805196 252118043.0 54935106.0
5 2207330420891332.0 46982235.162786074 126509838.14772727 223776468.0 38840435.0
6 2093798630422139.5 45758044.43398056 123681046.68055555 217813230.0 52956003.0
7 1770063074987878.0 42072117.54818003 121353704.27142857 209738619.0 52702461.0
