     4	179 273 675 102708 207.07258064516128 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00001.m4s
     7	5185 5829 6176 100741 101.65590312815338 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00002.m4s
    12	9184 10114 10368 100807 85.14104729729729 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00003.m4s
    14	14878 15242 15605 101033 138.97248968363135 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00004.m4s
    16	15614 15823 16135 100731 193.34165067178503 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00005.m4s
    18	16140 16233 16542 100626 250.3134328358209 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00006.m4s
    21	17551 18067 18400 100779 118.70318021201413 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00007.m4s
    23	18404 19332 19629 101240 82.64489795918368 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00008.m4s
    25	21635 23837 24230 100809 38.847398843930634 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00009.m4s
    27	26238 28528 28907 100627 37.70213563132259 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream1-00010.m4s
    29	29014 29106 29861 201981 238.46635182998818 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00010.m4s
    30	29869 29957 30680 201190 248.07644882860666 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00011.m4s
    33	44698 54119 65269 201948 9.817121190024793 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00012.m4s
    36	65278 76250 78031 201163 15.773778718732848 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00013.m4s
    38	78039 78312 79360 201786 152.75246025738076 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00014.m4s
    39	79366 79823 81107 201531 115.75588742102241 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00015.m4s
    41	93124 94952 95687 201642 78.67420991026141 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00016.m4s
    43	95694 95795 96594 201695 224.10555555555555 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00017.m4s
    45	99103 99680 100547 201423 139.48961218836564 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00018.m4s
    47	101554 102400 103364 201875 111.53314917127072 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00019.m4s
    48	104375 104461 105271 201041 224.37611607142858 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00020.m4s
    50	107281 107369 108586 201931 154.73639846743296 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00021.m4s
    52	115602 115691 116693 201228 184.4436296975252 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00022.m4s
    54	124708 124797 127473 202097 73.09113924050632 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00023.m4s
    57	137487 139375 140076 200920 77.60525299343375 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00024.m4s
    58	140087 140172 140886 201937 252.7371714643304 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00025.m4s
    59	140893 140980 141833 201344 214.19574468085105 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00026.m4s
    62	155352 155443 156146 201813 254.17254408060452 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00027.m4s
    64	163162 163252 164106 201394 213.34110169491527 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00028.m4s
    66	172134 172220 172976 201593 239.42161520190024 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00029.m4s
    68	178993 179077 179895 201182 223.03991130820398 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00030.m4s
    69	179901 179990 180749 201927 238.12146226415095 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00031.m4s
    72	194769 194853 195624 201745 235.95906432748538 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00032.m4s
    74	203143 203230 204029 201488 227.41309255079005 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00033.m4s
    76	211544 211631 212493 201807 212.6522655426765 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00034.m4s
    78	220008 220098 221582 201176 127.81194409148665 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00035.m4s
    80	227097 227180 227860 201793 264.47313237221493 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00036.m4s
    81	227867 227955 228666 201246 251.87234042553192 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00037.m4s
    84	243686 243778 244853 201915 173.02056555269922 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00038.m4s
    85	244860 244963 246281 201241 141.61928219563688 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00039.m4s
    88	262803 262891 264453 201716 122.25212121212121 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00040.m4s
    90	269467 269556 270518 201315 191.54614652711703 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00041.m4s
    92	277036 277132 278301 201951 159.64505928853754 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00042.m4s
    94	284815 284905 286075 201103 159.60555555555555 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00043.m4s
    96	291090 291176 291925 201781 241.65389221556887 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00044.m4s
    98	298440 298528 299619 201389 170.813401187447 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00045.m4s
   100	308634 308722 309467 201826 242.28811524609844 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00046.m4s
   102	315981 316072 316881 201226 223.58444444444444 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00047.m4s
   103	316887 316978 317695 201939 249.92450495049505 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00048.m4s
   106	330715 330801 331490 201626 260.1625806451613 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00049.m4s
   108	339005 339093 339681 201395 297.9215976331361 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00050.m4s
   110	351699 351783 352492 201823 254.50567465321564 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00051.m4s
   112	356005 356096 356721 201149 280.93435754189943 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00052.m4s
   114	365238 365326 366252 201892 199.10453648915188 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00053.m4s
   116	374270 374362 375150 201259 228.7034090909091 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00054.m4s
   118	380162 380251 380812 201934 310.66769230769233 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00055.m4s
   119	380818 380909 381419 201119 334.6405990016639 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00056.m4s
   122	399443 399531 400373 201826 217.01720430107528 http://100.64.0.1:7896/dash/0b4SVyP0IqI/media/chunk-stream0-00057.m4s
